# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
306.067711;73.2828402;22.5283176;4.3689834;-0.1410166;7.2149685;-1.2457091
306.2676246;73.2129187;22.3410552;4.3412244;-0.1367327;7.1803692;-1.2337902
306.4675382;73.137888;22.1557327;4.3143056;-0.1325544;7.1459358;-1.2219853
306.6674518;73.0579937;21.9725115;4.2882147;-0.1285162;7.1116676;-1.2102934
306.8673654;72.9734055;21.7913743;4.2629185;-0.1245631;7.0775637;-1.1987133
307.067279;72.8843311;21.6123964;4.2384031;-0.1206882;7.0436233;-1.1872441
307.2671925;72.7909753;21.4356395;4.2146617;-0.1168562;7.0098457;-1.1758845
307.4671061;72.6934972;21.2610785;4.1916742;-0.1131043;6.9762301;-1.1646337
307.6670197;72.5921187;21.0888025;4.1694377;-0.1093785;6.9427757;-1.1534905
307.8669333;72.4869855;20.9187645;4.1479399;-0.1056968;6.9094817;-1.142454
308.0668469;72.3782819;20.7509845;4.1271724;-0.1020638;6.8763474;-1.131523
308.2667605;72.2661864;20.5854702;4.1071308;-0.098455;6.8433719;-1.131523
308.4666741;72.1508391;20.4221719;4.0878034;-0.0948941;6.8102368;-0.9268343
308.6665877;72.0324325;20.261115;4.069189;-0.091343;6.7829752;-0.7057014
308.8665013;71.9110949;20.1022342;4.0512807;-0.0878196;6.7621442;-0.5015822
309.0664149;71.7869859;19.9455072;4.0340733;-0.0843256;6.7472993;-0.3126361
309.2663285;71.660259;19.7909024;4.0175644;-0.0808422;6.7380299;-0.1362904
309.4662421;71.5310395;19.6383535;4.0017482;-0.0773855;6.733985;0.0282016
309.6661557;71.3994867;19.4878347;3.9866236;-0.0739305;6.7348222;0.1833516
309.8660693;71.2657178;19.3392698;3.972188;-0.0704896;6.7402625;0.3297617
310.0659828;71.1298679;19.1926041;3.9584384;-0.067062;6.7500361;0.4685684
310.2658964;70.9920677;19.0477767;3.9453747;-0.0636348;6.7638993;0.6013433
310.46581;70.8524308;18.9047085;3.9329945;-0.060221;6.7816493;0.728361
310.6657236;70.7110871;18.763337;3.9212972;-0.0568026;6.8030864;0.85128
310.8656372;70.5681444;18.623577;3.9102829;-0.0533896;6.8280561;0.9703588
311.0655508;70.4237178;18.4853503;3.8999501;-0.04998;6.8564077;1.0863812
311.2654644;70.2779187;18.3485749;3.8902998;-0.0465658;6.8880106;1.2003614
311.465378;70.1308511;18.2131611;3.8813314;-0.043157;6.9227616;1.312407
311.6652916;69.9826218;18.0790222;3.8730452;-0.0397402;6.9605577;1.4237285
311.8652052;69.8333312;17.9460649;3.8654421;-0.0363241;7.0013291;1.5344172
312.0651188;69.6830787;17.8141949;3.8585217;-0.0329065;7.0450061;1.6450952
312.2650324;69.5319621;17.6833162;3.8522855;-0.0294829;7.0915347;1.7564664
312.464946;69.3800774;17.5533311;3.8467336;-0.0260607;7.1408786;1.8686261
312.6648596;69.227516;17.4241377;3.8418665;-0.0226302;7.1930018;1.9825339
312.8647731;69.0743729;17.2956368;3.8376854;-0.0191988;7.2478925;2.0982529
313.0646867;68.9207375;17.1677245;3.8341904;-0.0157648;7.3055379;2.2163332
313.2646003;68.7666989;17.0402963;3.8313825;-0.012326;7.3659375;2.3373301
313.4645139;68.6123491;16.91325;3.8292621;-0.0088871;7.4291024;2.4614456
313.6644275;68.4577703;16.7864751;3.8278298;-0.0054417;7.4950461;2.5894994
313.8643411;68.3030561;16.6598704;3.8270864;-0.0019953;7.5637998;2.7216429
314.0642547;68.148291;16.5333272;3.8270321;0.0014527;7.6353949;2.6890192
314.2641683;67.993561;16.4067377;3.8276673;0.0049029;7.7054784;2.4215849
314.4640819;67.8389598;16.2800003;3.8289924;0.0083536;7.7680508;2.1539311
314.6639955;67.6845637;16.1529993;3.8310081;0.0118126;7.8232866;1.8866081
314.8639091;67.5304726;16.025638;3.8337155;0.0152732;7.8713487;1.6210256
315.0638227;67.3767703;15.897806;3.8371146;0.0187308;7.9124118;1.3584673
315.2637363;67.2235449;15.7693971;3.8412045;0.0221846;7.9466605;1.0999411
315.4636499;67.0708988;15.6403168;3.8459847;0.0256402;7.9742836;0.8460133
315.6635635;66.9189029;15.5104439;3.8514623;0.0291623;7.9954649;0.1814321
315.863477;66.7676767;15.3796956;3.8576452;0.0326951;8;0
